ANT	dA	POST	TAG
Artık bulunduğu yeri değiştirmeliydi . İnsanların onu bulamayacağı bir yere gitmeliydi , ama Mihriban ' ı	da	bırakamazdı .	NDC
İstanbul kadısının görevlendirdiği kişi ya	da	bizzat kendisi , limana giren gemilerdeki malların fiyatlarını açıklamadan önce Ermeni Ante ' yle görüşüyordu .	NDC
Neredeyse İstanbul ' un en gözde bekârı sayılan Ermeni Ante ' yi damadı olarak görmek , ona hem mutluluk , hem	de	daha seçkin bir mevki getirecekti .	NDC
Garip bir dildi bu . Belki	de	dil değildi , saçmalıyordu .	NDC
Ne geziyorsun benim mahzenimde ! Anahtarı nereden buldun ? - " Abid Efendi . Şarap ...  fıçı ...  apteshanede	de	ondan ! " - " Tamam , kekeleme . Gördün işte . Altına etmeden git artık ! "	NDC
Henüz çok iyi öğrenememiştim New York metrosunu ama gene de her gece gideceğim yere varabiliyordum . Benimle aynı saatlerde bazen bir kör adam	da	biniyordu metroya .	DC
Ter içindeydi adam ; anlatamayacağım denli çeşitli figürler yapıyor ; kadına sımsıkı sarılıyordu arada . Bazen elini kadının beyaz külotunun içine	de	sokuyordu .	DC
Ne kadar ilginç çıkmış sizin falınız . Görkemli bir ev , ışıl ışıl bir hane ...  Hanenin içinde bir adam ...  Düşüncelere dalmış . Bir başka tarafta dört kişi arasındasınız sanki ...  durun bakayım , bunlar	da	erkek .	NDC
 " Hakikaten , bir şey sezdim sesinde . "       " Biliyorsun , eskiden beri ben de beğenirdim seni , " dedi Fevzi .      Gülmeye başladım . “Niye gülüyorsun , ben	de	şerefli bir büyükelçiyim…”	DC
 Bahçesindeki manolya ağaçlarını ve özel sub-tropik bitkileri sen diktirdin . Unuttun mu yahu , geçen sonbahar orada bir parti vermiştiniz ; ben	de	vardım . Evi gezdirmiştin ya bana .	DC
Ama ben bu kadını tanımıyorum ki ! Ben Mithat Bey ' in eski karısını hiç tanımadım ki . Üstelik ben Mithat Bey ' i        de        tanımıyorum .        - Bir sessizlik oldu . Hacı Murat , O zaman sizden nefret eden , size kin duyan bir kadın	da	yok . Var ! " diye bağırdım . " Öyle bir kadın var ! Ama o başkası ! "	NDC
 Ama ,  dedi İzzettin , " Size çok güzel bir hayat sunuluyor . Varlık , kimlik ; ne bileyim ben , her şey ...  Böyle bir cinayet olamaz . " Bana yepyeni bir hayat sunuluyor , içine	de	girmiş bulunuyorum .	DC
Bir ayağı fincanın dışında sanki ! İşte öbür ayağını	da	kenardan dışarıya attı !	DC
 Buradayım , geldim işte !  dedi Fevzi . Aman , yollar	da	çamurlu mu neydi , tam anlayamadım ; ayakkabılarım , pantolonumun paçaları battı .	DC
 Sen Mithat Bey ' i ne kadar tanıyorsun ?   " Uzun yıllardır tanırım Mithat ' ı . İyi arkadaşımdır . Sen	de	bunu bilirsin . "  " Bilmiyorum , sen anlat . Ne iş yapar Mithat Bey ? "	DC
Çok mal varlığınız olduğu söylenir . Patara ' da ev yaptırıyormuşsunuz . Benim bildiklerim bu kadar . Eskiden oturduğunuz , Gaziosmanpaşa Hatır Sokak ' taki villanız	da	öylece duruyor .	NDC
Şimdi Fevzi ' den öğrendiğim şeyleri düşünüyordum . Hanımelinden gelen tatlımsı koku	da	gece bastırınca balkonu iyice doldurmuştu .	NDC
 Benim yerime , benim yaşamıma kim geçti acaba ?  Belki	de	bütün bu olanlar , benim yaşamıma birini yerleştirmek için kurulmuş bir oyun ...  "	NDC
Ama göremedim onu . Galiba gelmemiş , öyle söylediler , " dedim .      " Ah ! " diye mırıldandı Kerem . " O insanı deli eden bekleyiş . O gerilim , o yürek çarpıntısı ...  Öyle kolay gelmez ki o . "       " Sanırım o zaman	da	gelmemişti . "	NDC
 " Parkta onu bekleyen diğer erkekleri kıskanmıyormusun ? "      Bir an durdu .      " Hiç düşünmedim bunu , " dedi doğallıkla .      " Oradakilerin hepsi senin gibi . Hepsi onu bekliyor . "       " Zaman . Herkesin zamanı önemli , " dedi Kerem .      " O ne demek ? " Parkta geçmiştekiler	de	var . Onun geçmişindeki erkekler ...  Kimi bir saatlik , kimi birkaç günlük .	NDC
Muammer , yarım şişe viski olacaktı dolapta , getir onu oğlum . Arka tarafta olacak . Bardak	da	getir .	DC
 Ne kadar yazık . Galiba hiçbir şey anlatamadan gideceğim buradan ,  diye mırıldandı . " Niçin geldim buraya bilmiyorum . Sizleri	de	boşuna oyaladım . "	DC
Bazı geceler kulağımı kapısına dayar, dayak yerken attığı çığlıkları dinlerdim. Sonra barışırlardı. Ne tuhaf bir şeydi bu! Sonra da bu parka düştüm işte. Onu döven adam	da	şurada , şu ağacın altındaki .	DC
Ne tuhaf bir şeydi bu! Sonra da bu parka düştüm işte. Onu döven adam da şurada, şu ağacın altındaki. O	da	burada bekler . Sürünür şimdi .	DC
Onu döven adam da şurada şu ağacın altındaki . O da burada bekler . Sürünür şimdi . İkimiz	de	aynı durumdayız , demişti , " dedi . "	NDC
Kurtulup buraya gelmeyi başardım . Kaçtım . Erkekler Parkı ...  Ne kadar ürkütücü ve bir o kadar	da	çekici bir yer orası .	NDC
Korku içindeyim . Belki	de	bir daha bulamayacağım orayı .	NDC
Ağzından çıkanı iki ettirmezdim . Belki	de	ona karşı çok iyi olduğum için bıraktı beni .	NDC
Kerem hayretle,          "Nereden biliyorsunuz?" diye sordu. "Gerçekten çeker mi beni o parkın içine?"          "Çeker . "  " Şimdi düşünüyorum	da	, galiba o parkın dışında yapamayacağım ben , " dedi Kerem .	DC
Bu işleri yapmayanı erkekten saymıyor İlhami . Onu	da	zorluyorlar .	DC
İlhami ' nin iki çocuğu var şimdi . Yenik düşmüş bu haydut , o köpekleri anımsıyor mu zaman zaman ve ilk karısı Suzan ' ı ? Çocuklarının	da	bir gün aynı yolu izleyebilecekleri aklına gelmiyor mu hiç ?	NDC
Yalnız Mustafa değil , Hayri , Osman Mesut	da	oluyor yanında .	NDC
Ben en çok Tommiks ' le Teksas okurdum . Kinova ' yı	da	severdim ama , o , zaman zaman Kızılderililere çok kötü davranırdı .	DC
Pantolonunun arkasının diz kıvrımlarına dek çamur benekleriyle bezendiğinden kuşkusu yok . Önemi	de	yok bunun ; o benekler ensesine dek tırmansın isterse , ne değişir ki ...	DC
 Amaan ,  diyor Nesli koluna yeniden asılarak , " İyi atıyorsun , soprano teyzelerinin İtalya serüvenlerine ne zaman geçeceksin . " Keyifsiz olduğu günler	de	konuşuyor Vedat , ama daha az . " Sanayi çarşısına gidelim , " diyor örneğin , ...	NDC
Evlerin çatılarında polisler var . " Dağılmayın arkadaşlar ! Dağılmayın ! " Panik başlıyor . Vedat	da	kaçıyor . Neslihan yok . O katılmıyor .	DC
... sigarayı baş ve orta parmağının yardımıyla ileri doğru fırlatan , karanlık salonda bir yıldız gibi kayan izmaritin ardından küçük , sessiz , ama isterik kahkahalar atan -birinin ensesine girmeli , mutlaka girmeliydi- Vedat	da	yerine göre pantolon düğmelerini çözüp çükünü çıkarmamış mıydı ?	DC
Tabela yazıyorum , biliyor musun ? Komşu bakkalın tabelasını ; salt can sıkıntısından , iş olsun diye yenileyince beğenip isteyenler oldu . Adım tabelacıya çıktı . Üç-beş	de	kazancım oluyor .	DC
 İnan ki ,  diyor . " Ben ip cambazı olduğunu sanıyordum , " diyor Nesli	de	.	DC
Ayı uçup gidecek , bir daha da geri dönmeyecek . " Bir Sıntır ' ı tanıtacağım sana , " diyor ; Nesli	de	, " Kimi kimi ? " deyip asılıyor koluna .	DC
İki sinema vardı burada ; çocukluğunun ayakta kalabilmiş iki tanığı . İkisini	de	aynı kişi işletirdi .	NDC
Yürümesini bilmeyenler , ayakkabılarına yan basanlar ve yağmurlu havalarda çoraplarına ya	da	pantolonlarına çamur sıçratanlar ,	NDC
dış görünüşleri ne olursa olsun sınıfsal konumlarını ele verirler demiştin	de	kahkahalarla gülmüştü Neslihan .	DC
Kahvede , pencere önündeki masalardan birinde oturuyorsa -genç kız ve kadınları yaralayan bıçak gibi bakışlar fırlatırdı ordan- sesleniyor ; " Gel	de	bir çay iç , " diyor . Çoğunlukla gitmiyor yanına ; " İşim var , " diyor . " Yorgunum , " diyor .	DC
Kimi başını eğerek selamlıyor onu İlhami , kimi	de	sağ elini büküp parmaklarının ucunu hafifçe şapkasının siperine götürerek .	NDC
Bir namaz tahtasına sarılmış olarak kıyıya vurduğunda kollarını zor açmışlar, yarı yarıya donmuş. Belki	de	o anda Tanrı ' ya yakarıp yardım istiyordu , çünkü çok dindar bir adamdı .	NDC
Biz yasalar karşısında evli sayılacaktık , ama gerçekte evli iki insan gibi değil	de	 aynı evi paylaşan iki öğrenci gibi yaşayacaktık .	NDC
Bir zaman önce , ama çok zaman önce , onların köyüne gittiklerini , belki	de	kaçtıklarını ya da saklandıklarını -yok , avlanmak içindi , anımsıyor , çifteler ellerinde , karlarla kaplı bir düzlükte yürümüşlerdi- hayır tabela için değil , bir tuvale içini dökecekti .	NDC
O sandalyeler bile değişmemiştir, bunca şey değişir, çözülüp giderken. Bir pazar matinesinde, yıllar önce, öndeki sırada kafaları sıfır numara tıraşlı askerler otuzbir çekerlerken, beşi birden sıra ile birlikte nasıl da gerisin geri devrilmişlerdi... Herkes gülerken , kimi	de	yuh çekerken -askerdir , hoş görülür aslında- onlar da önlerini kapamaya çalışırken neye uğradıklarını şaşırmışlardı .	NDC
Kimi gün Mustafa ile geçiyor aynı sokakları . Dudaklarında sigaralar , elleri ceplerinde . Nâzım ' dan şiir okuyor Mustafa , kimi zaman	da	Ahmed Arif ' ten .	NDC
Cenazesine katılamadı . Bir zaman önce , ama çok zaman önce , onların köyüne gittiklerini , belki de kaçtıklarını ya	da	saklandıklarını -yok , avlanmak içindi , anımsıyor , çifteler ellerinde , karlarla kaplı bir düzlükte yürümüşlerdi- hayır tabela için değil , bir tuvale içini dökecekti .	NDC
Bir zaman önce, ama çok zaman önce, onların köyüne gittiklerini, belki de kaçtıklarını ya da saklandıklarını -yok, avlanmak içindi, anımsıyor, çifteler ellerinde, karlarla kaplı bir düzlükte yürümüşlerdi- hayır tabela için değil, bir tuvale içini dökecekti. `Benim Anlatmalarım '  ya	da	yalnızca `Anlatmalarım '  adını vereceği bir dizi resim yapmayı tasarlıyordu .	NDC
 Söyle Osman Efendi, ben artık cehennemlik miyim? Şarap içtim , adı kilise ya	da	papaz adına benziyordu , şişeden şarap içtim , okul kaçkınıydım .	NDC
Elektrik kesintisi nedeniyle ortaya çıkan gösterim aksamalarında ya	da	ses düzenindeki bozukluklarda salon ayağa kalkardı .	NDC
Elektrik kesintisi nedeniyle ortaya çıkan gösterim aksamalarında ya da ses düzenindeki bozukluklarda salon ayağa kalkardı . Islıklar bağırtılar ve Niyazi'ye çekilen yuhlar . Ya	da	 Niyazi ses !  çığlıkları .	NDC
Hatta bir bilet alıp o salona girse , film o anda gösteriliyor olsa ( Kızılderilileri acımasızca katleden John Wayne ya	da	dişleri arasına sıkıştırdığı bir kamayla timsahların kaynadığı suya dalan Tarzan ) ve el yordamıyla oturacak bir yer arasa kendine ...	NDC
Bir pazar matinesinde , yıllar önce , öndeki sırada kafaları sıfır numara tıraşlı askerler otuzbir çekerlerken , beşi birden sıra ile birlikte nasıl	da	gerisin geri devrilmişlerdi ...	NDC
Hadi bir kat daha , sana kahve yapacağım . Ama çok içmedim . Ötesi yoksa öteye gidemezsin bunu biliyorsun . Bir gün başkaları	da	bilip anlayacaklar ne ki iş işten geçmiş olacak . Kim başkaları ? Başkaları yok . Sonsuz bir karışıklık ve sonrasızlık hepsi bu .	DC
Belki de ilişkileri bana söylediğinin ötesindeydi	de	o gece Eda ' nın kalkıp benimle gelmesine bozulmuştu .	DC
Sinirlerim bozuluyor , diyor Tuğçe , iştahım kesik , uykusuzluk çekiyorum ve çok umutsuzum . Elini ver	de	falına bakayım , diyor Meltem .	DC
Uygunsuz bir zamanda aramış olduğumu düşündüm . Belki	de	Fulya ' yla birlikteydi .	NDC
Bana bak , onu hiç tanımıyorsun . Belki	de	sana uygun biri değil tamam mı ?	NDC
aşlangıçta benden yana olup Eda ' yla tanışmamı sağlayan Metin ' in şimdi aramızda gelişebilecek herhangi bir yakınlığa tavır alıyormuş gibi davranması ve konuşmamızı telefonu kapatarak bitirmesi çok canımı sıkmıştı . Belki	de	ilişkileri bana söylediğinin ötesindeydi de o gece Eda ' nın kalkıp benimle gelmesine bozulmuştu .	NDC
Duruşunu anımsadım , kayıtsız , gizlice pervasız ama gene	de	ölçülü .	NDC
Duruşunu anımsadım , kayıtsız , gizlice pervasız ama gene de ölçülü . Belki	de	bana olan duyarsızlığı , önemsemezliği , yerime koyacağı bir başka erkek ya da yeğleyebileceği farklı durumların tümünü derin bir aldırışsızlıkla bir yana itmişliğiyle açıklanabilirdi .	NDC
Onun dün sabah bu yatakta uyandığı ve buradan çıkıp gittiği âna kadar neler düşündüğü , neler duyduğu hem benim için hem	de	olacaksa geleceğimizi belirlemesi açısından çok önemliydi .	NDC
Doğduğun saati biliyor musun ? Metin piposunu cam küllüğe sertçe vurarak boşaltıyor . hem etnik gruplar hem	de	yaşama biçimi ve kültürleri toplamı olarak bakıldığında farklılıklar arasında birlikte yaşama geleneği sağlanamamış ve biz-onlar ayrımı ... Erkböke soluklanıp bir yudum su içiyor.	NDC
Telefon rehberindeki bütün Sezerlere baktım . Melike ya	da	Eda adına bir kayıt yoktu .	NDC
Belki de bana olan duyarsızlığı , önemsemezliği , yerime koyacağı bir başka erkek ya	da	yeğleyebileceği farklı durumların tümünü derin bir aldırışsızlıkla bir yana itmişliğiyle açıklanabilirdi .	NDC
Bir anlık bir etkilenmeyle seçtiği , mutluluk ya	da	mutsuzluk beklemeksizin birlikte olmayı deneyip kolayca terk edeceği biri .	NDC
Hayır , hiç ilgilenmiyorum . Bilimkurgu ya	da	kurmaca bir şey dene , diye öğüt veriyor Erkböke , romantizm öldü artık , ayağa düştü , direnenlerin son temsilcisi benim .	NDC
Yazmak yalnızlıktır , buyuruyor , kendini bağışlamaktır , yavaşça intihar etmektir . Bakıyorum	da	şimdi eline kalemi alan yazarım diye ortaya çıkıveriyor , bu ne bolluk böyle yahu , kolay mı yazmak ?	DC
Ne tiksinti ne özlem . Panik belki ya	da	öylesine bir üşüme sabahın serinliğinden .	NDC
Yok olmanın nedeni gibi , süresi ve seçmeli oluşu	da	çözüm bekleyen sorulardandır .	NDC
Troposferdeki ozon değişimi ; iklim değişikliklerinin nedeni oldu , deniz ve göl ortamlarının üst kesimlerinde yaşayan planktonların yüzde 15-20 oranında azalmasını sağlayarak , besin zincirinin bu ilk halkasında önemli bir kırılmayı	da	gerçekleştirdi .	DC
II . Büyük Toplu Yok olmanın nedeni olarak gösterilen meteorit çarpmasının koşulları , güncel olarak	da	dünyamızı tehdit ediyor .	NDC
Jüpiter için gerçek olan uzay koşullarının , bir gün Dünya için	de	gerçek olabileceği unutulmamalıdır .	NDC
Acaba , bir kısım canlının yok olmasına neden olan faktörler , neden diğerleri için	de	etkin olmamıştır ?	NDC
Toplu Yok olma , var olan türlerin çoğunun ya	da	birkaçının , tek bir stratigrafik horizonda veya çok dar bir stratigrafik arada aniden yok olmasıyla belirlenir .	NDC
... bu etkilerle fauna-flora değişiminin 100 .000 yıl ya	da	daha uzun bir zaman aralığında gerçekleştiğini ileri sürmüştür .	NDC
Bilginin kaynağı toplumsal pratiktir . Büyük bilimsel ve düşünsel devrimlerin kökenine indiğimiz zaman büyük toplumsal pratikleri ve insan ihtiyaçlarını görürüz . Marx bunu , " insanlık kendi önüne , ancak çözüme bağlayabileceği sorunları koyar " diye formüle eder . Bu süreci , bilimsel sosyalist kuramın gelişiminde	de	izleyebiliriz .	DC
( gerçekten de 19 . yüzyılın en köklü devrimci atılımları Fransa , İngiltere ve Almanya gibi en ileri kapitalist ülkelerde yaşanmıştır . Ayrıca Komün ' ün yenilgisinin bir nedeni	de	yaygınlaşamaması , diğer ülkelere , örneğin Almanya ' ya sıçrayamaması olarak tahlil edilir . )	NDC
Rusya , kapitalist gelişme açısından bakarsak , ilerilerin en gerisi , gerilerin en ilerisi idi . Rusya ' da başlayan sosyalizm pratiği , çoğu Bolşeviğin , hatta başlarda Lenin ' in	de	düşündüğü gibi Avrupa ' ya değil , Asya ' ya doğru yayıldı .	NDC
…bir 20 . yüzyıl devrim modeli geliştirilmiş ve bu , bir yüzyıl boyunca kanıtlanmıştır . 20 . yüzyılın sosyalizm modeli	de	19 . yüzyıldan farklıdır .	DC
Sol-Hegelci düşüncenin en radikal temsilcisi ise bir başka ünlü Alman filozofu Ludwig Feuerbach ' tı . Feuerbach ' ın yazıları , içlerinde Marx ' ın	da	bulunduğu demokratik ve tanrı tanımaz fikirlere sempati duyan gençleri büyük ölçüde etkilemişti .	NDC
Böylece kapitalist sömürünün mekanizması ( emeğin meta haline gelmesi ve işçinin emeğinin bir bölümüne kapitalist tarafından el konulması ) açıklanmış , kapitalist zenginliğin ( sermaye ' nin ) ve kâr ' ın temel kaynağı	da	bulunmuştur . Daha birçok çalışmanın yanı sıra Marx'ın anıtsal eseri Kapital'de bu konu son derece ayrıntılı biçimde incelenmiştir. 	DC
Feuerbach ' ın yazıları , içlerinde Marx ' ın da bulunduğu demokratik ve tanrı tanımaz fikirlere sempati duyan gençleri büyük ölçüde etkilemişti . Marx ' ın kendisi	de	o dönem için , " bir gecede hepimiz Feuerbachcı olmuştuk " diye yazmıştır .	DC
Sovyet ve Çin sosyalizm deneyleri yaşanmasaydı , bugün Marx ' ı " parlak bir 19 . yüzyıl filozofu " , Bilimsel Sosyalizmi	de	 bir 19 . yüzyıl düşünce akımı  olarak anacaktık .	NDC
Mao , sosyalizmin uzun sürecek bir geçiş aşaması olduğunu , sınıfların ve sınıf mücadelesinin üretim araçlarının toplumsal mülkiyeti tamamlandıktan sonra da devam edeceğini , bu dönemde geri dönüş tehlikesinin tamamen bertaraf edilmediğini , tehlikenin tasfiye edilen burjuvaziden değil , bizzat sosyalist parti ve devlet aygıtı içinde yer alan mevki sahibi kapitalist yolculardan kaynaklandığını , sosyalizmi kurmanın esas itici gücünün emekçi kitlelerin devrimci inisiyatifi olduğunu , partinin	de	bu inisiyatifin önderi olabildiği sürece sosyalizm yolunda ilerlenebileceğini söylemiştir .	DC
 Deha  yı yaratan işte bu toplumsal gelişmedir ; " kapitalizmin mezar kazıcısı " proletarya ortaya çıkmıştır , Marx	da	onu keşfetmiştir .	DC
Öte yandan özellikle Fransız ütopik sosyalistleri , Saint Simon , Fourier vb . , kapitalizmi eleştirerek sömürüsüz-sınıfsız bir toplum düşüncesine ulaşmışlardı . Marx , yukarıda	da	söz ettiğimiz gibi , bu büyük insanlık ütopyasını hangi toplumsal gücün gerçekleştirebileceğini keşfetmiştir .	NDC
Marx , yukarıda da söz ettiğimiz gibi , bu büyük insanlık ütopyasını hangi toplumsal gücün gerçekleştirebileceğini keşfetmiştir . Bu keşfin esas laboratuarı	da	Paris ’ tir .	DC
Klasik felsefeyi aşıp Diyalektik ve Tarihi Materyalizme ulaşanın , bir köyde inzivaya çekilip felsefe yapan " hoca " Feuerbach değil	de	, dönemin politik eylemlerine doğrudan katılan , Avrupa ' nın bir kentinden diğerine sürülen , Paris ' te barikatlara çıkıp Manchester ' de işçilerle birlikte yaşayan " çömezler " Marx ve Engels olmasının nedeni de bu olsa gerek .	NDC
19 . yüzyıl koşullarında doğru olan ve pratikten çıkarılan bu model ( gerçekten	de	19 . yüzyılın en köklü devrimci atılımları Fransa , İngiltere ve Almanya gibi en ileri kapitalist ülkelerde yaşanmıştır . Ayrıca Komün ' ün yenilgisinin bir nedeni de yaygınlaşamaması , diğer ülkelere , örneğin Almanya ' ya sıçrayamaması olarak tahlil edilir . ) , 20 . yüzyılda kökten değişecektir .	NDC
Marx , Alman sosyal demokratlarını ( o zaman komünistlere , sosyal demokrat deniyordu ) eleştirdiği bu eserinde ; " herkes yaratılan toplumsal değerden verdiği emek oranında pay alacak " biçimindeki sosyalist iktisat ilkesinin , aslında çok eşitlikçi gibi gözükmesine karşın eşitsizliği engelleyemeyeceğini , hatta yeni bazı eşitsizlikler yaratabileceğini , dolayısıyla hâlâ bir burjuva ilke olduğunu , hedefin " herkes verebildiği kadar verecek ve ihtiyacı kadar alacak " ilkesini hayata geçirmek olduğunu , ama bu düzeye	de	ancak " bolluk toplumu " nda , yani sınıfsız toplumda varılabileceği söyler .	NDC
Marx , dünyanın Avrupa ve yakın çevresinden ibaret olduğu bir dönemde , hem	de	yaşlı kıtanın merkezinde yaşadı .	NDC
Bilimsel sosyalist düşüncenin üç kaynağı olduğu söylenir : Alman felsefesi , İngiliz ekonomi politiği ve Fransız sosyolojisi ( ya	da	sosyalizmi ) .	NDC
Marx ve Engels ; Diyalektik Materyalizmi , toplumların yapısını ve tarihini incelerken daha	da	genişlettiler .	NDC
Bu teorik analizde ; modern sosyalist kuramların ulaştığı , " sosyalizm aşamasının uzun olduğu , bu aşamada sınıf mücadelesinin devam ettiği , sosyalizmin kendinden kaynaklanan bazı eşitsizlikleri barındırdığı , dolayısıyla devrimi sürdürmenin zorunlu olduğu " gibi sonuçların çekirdeğini görebiliyoruz . Bu	da	Marx ' ın " deha " sı olsa gerek .	DC
Her odadan diğerine geçiliyor ; ama giriş damdan , evlerden dışarıya çıkamıyorsunuz . Evlerin aralarında çok dar koridorlar , avlular var . Çatalhöyük ' te	de	aynı şekilde evlere damdan giriyorsunuz .	DC
Öteki yapı da tapınakla beraber olan ve yönetimle ilgili bir başka bina . Yani burada oturanlar , öteki konutlarda oturan insanlardan farklı ; işlevleri	de	farklı .	NDC
- " Bu durumda , bakır kullanımının daha önceki tarihlemesiyle ilgili bilgiler altüst oluyor . "      - " Tabii , bilinenden çok daha erken . Bu Anadolu ' da yalnız Aşıklı ' da değil , Çayönü ' nde	de	bulundu . "	NDC
Şimdi bizim arkeometrimiz de dünyadakilerle yarışmaya başladı . Bu	da	çok onur verici . Yabancılardan proje alan arkadaşlarımız var .	DC
Aşıklı'daki insanlar Çatalhöyük'e gittiler ve geldikleri yer, anayurtları Aşıklı olduğu için, onun resmini yaptılar. Böyle bir yorum getiriliyor. Yani şu anda dünyanın en eski planı Aşıklı'ya ait." Çatalhöyük ile Aşıklı arasında kültür olarak	da	birtakım benzerlikler var .	DC
Çatalhöyük ile Aşıklı arasında kültür olarak da birtakım benzerlikler var . Bu benzerliklerin yanında farklılıklar	da	var .	DC
Aşıklı Höyük Kazısı pek çok ilke ev sahipliği yapıyor . Avcı bir toplum , tarım henüz başlamış ; ama son derece gelişmiş bir toplumsal örgütlenme var . İşbölümü ayrıntılanmış ve yönetici sınıf oluşmuş . Dünyanın en eski kent planı , Aşıklı Höyük ' e ait , en eski çevre duvarı	da	orada .	DC
Mesela ilk heykel sanatı , ilk kabartma sanatı Anadolu ' da ; Çatalhöyük ' den de 1500 sene önce Nevalı Çori ' de , Göbeklitepe ' de bulundu . Ayrıca Çayönü var , akıl almaz bir yerleşim yeri . Aşıklı Höyük	de	, bir taraftan Çatalhöyük ' ün öncüsü .	DC
Bütün bunlar yapıldı Türkiye ' de . Ama kurumlaşma daha sonra oldu , amatör ruhla çalışıldı . Şimdi bizim arkeometrimiz	de	dünyadakilerle yarışmaya başladı .	DC
Mesela ilk heykel sanatı , ilk kabartma sanatı Anadolu ' da ; Çatalhöyük ' den	de	1500 sene önce Nevalı Çori ' de , Göbeklitepe ' de bulundu .	NDC
